loading data files...
Word vocab size: 10000, Char vocab size: 51
word_vocab_size 10000
char_vocab_size 51
model start===>
[91m[Deprecation Warning] mxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
[15:09:03] src/operator/tensor/./matrix_op-inl.h:156: Using target_shape will be deprecated.
2017-03-09 15:09:03,500 Start training with [cpu(0)]
[15:09:03] src/operator/tensor/./matrix_op-inl.h:156: Using target_shape will be deprecated.
[15:09:03] src/operator/tensor/./matrix_op-inl.h:156: Using target_shape will be deprecated.
2017-03-09 15:12:49,152 Epoch[0] Batch [20]	Speed: 11.60 samples/sec	Train-Perplexity=8377.935619
2017-03-09 15:16:38,314 Epoch[0] Batch [40]	Speed: 11.17 samples/sec	Train-Perplexity=3757.653670
2017-03-09 15:20:28,958 Epoch[0] Batch [60]	Speed: 11.10 samples/sec	Train-Perplexity=1493.336761
2017-03-09 15:24:15,990 Epoch[0] Batch [80]	Speed: 11.28 samples/sec	Train-Perplexity=1049.059814
2017-03-09 15:28:04,236 Epoch[0] Batch [100]	Speed: 11.22 samples/sec	Train-Perplexity=922.236317
2017-03-09 15:31:53,398 Epoch[0] Batch [120]	Speed: 11.17 samples/sec	Train-Perplexity=815.628699
2017-03-09 15:35:41,289 Epoch[0] Batch [140]	Speed: 11.23 samples/sec	Train-Perplexity=776.615493
2017-03-09 15:39:33,982 Epoch[0] Batch [160]	Speed: 11.00 samples/sec	Train-Perplexity=751.680649
2017-03-09 15:43:25,416 Epoch[0] Batch [180]	Speed: 11.06 samples/sec	Train-Perplexity=726.767926
2017-03-09 15:47:11,324 Epoch[0] Batch [200]	Speed: 11.33 samples/sec	Train-Perplexity=727.587724
2017-03-09 15:48:21,060 Epoch[0] Resetting Data Iterator
2017-03-09 15:48:21,060 Epoch[0] Time cost=2357.221
2017-03-09 15:49:29,245 Epoch[0] Validation-Perplexity=706.596537
2017-03-09 15:53:09,831 Epoch[1] Batch [20]	Speed: 11.84 samples/sec	Train-Perplexity=737.442245
2017-03-09 15:56:56,251 Epoch[1] Batch [40]	Speed: 11.31 samples/sec	Train-Perplexity=732.823732
2017-03-09 16:00:46,641 Epoch[1] Batch [60]	Speed: 11.11 samples/sec	Train-Perplexity=724.861474
2017-03-09 16:04:36,374 Epoch[1] Batch [80]	Speed: 11.14 samples/sec	Train-Perplexity=720.924657
2017-03-09 16:08:25,453 Epoch[1] Batch [100]	Speed: 11.18 samples/sec	Train-Perplexity=733.919683
2017-03-09 16:12:16,478 Epoch[1] Batch [120]	Speed: 11.08 samples/sec	Train-Perplexity=717.362313
2017-03-09 16:16:06,211 Epoch[1] Batch [140]	Speed: 11.14 samples/sec	Train-Perplexity=718.752262
2017-03-09 16:19:56,497 Epoch[1] Batch [160]	Speed: 11.12 samples/sec	Train-Perplexity=713.397795
2017-03-09 16:23:44,811 Epoch[1] Batch [180]	Speed: 11.21 samples/sec	Train-Perplexity=697.456744
2017-03-09 16:27:38,239 Epoch[1] Batch [200]	Speed: 10.97 samples/sec	Train-Perplexity=706.393423
2017-03-09 16:28:46,152 Epoch[1] Resetting Data Iterator
2017-03-09 16:28:46,153 Epoch[1] Time cost=2356.908
2017-03-09 16:29:54,679 Epoch[1] Validation-Perplexity=694.172321
2017-03-09 16:33:40,236 Epoch[2] Batch [20]	Speed: 11.58 samples/sec	Train-Perplexity=719.116472
2017-03-09 16:37:26,344 Epoch[2] Batch [40]	Speed: 11.32 samples/sec	Train-Perplexity=718.124001
2017-03-09 16:41:30,620 Epoch[2] Batch [60]	Speed: 10.48 samples/sec	Train-Perplexity=712.108189
2017-03-09 16:45:18,947 Epoch[2] Batch [80]	Speed: 11.21 samples/sec	Train-Perplexity=709.030862
2017-03-09 16:49:08,835 Epoch[2] Batch [100]	Speed: 11.14 samples/sec	Train-Perplexity=722.116641
2017-03-09 16:52:58,194 Epoch[2] Batch [120]	Speed: 11.16 samples/sec	Train-Perplexity=708.037296
2017-03-09 16:56:46,272 Epoch[2] Batch [140]	Speed: 11.22 samples/sec	Train-Perplexity=708.188354
2017-03-09 17:00:38,904 Epoch[2] Batch [160]	Speed: 11.00 samples/sec	Train-Perplexity=705.534794
2017-03-09 17:04:28,805 Epoch[2] Batch [180]	Speed: 11.14 samples/sec	Train-Perplexity=691.778903
2017-03-09 17:08:19,188 Epoch[2] Batch [200]	Speed: 11.11 samples/sec	Train-Perplexity=697.429157
2017-03-09 17:09:28,095 Epoch[2] Resetting Data Iterator
2017-03-09 17:09:28,095 Epoch[2] Time cost=2373.415
2017-03-09 17:10:36,390 Epoch[2] Validation-Perplexity=688.896351
2017-03-09 17:14:26,562 Epoch[3] Batch [20]	Speed: 11.33 samples/sec	Train-Perplexity=712.183387
2017-03-09 17:18:21,558 Epoch[3] Batch [40]	Speed: 10.89 samples/sec	Train-Perplexity=711.227751
2017-03-09 17:22:13,316 Epoch[3] Batch [60]	Speed: 11.05 samples/sec	Train-Perplexity=706.154128
2017-03-09 17:26:05,417 Epoch[3] Batch [80]	Speed: 11.03 samples/sec	Train-Perplexity=704.488065
2017-03-09 17:29:54,692 Epoch[3] Batch [100]	Speed: 11.17 samples/sec	Train-Perplexity=716.920469
2017-03-09 17:33:46,320 Epoch[3] Batch [120]	Speed: 11.05 samples/sec	Train-Perplexity=703.814913
2017-03-09 17:37:33,534 Epoch[3] Batch [140]	Speed: 11.27 samples/sec	Train-Perplexity=704.732333
2017-03-09 17:41:26,414 Epoch[3] Batch [160]	Speed: 10.99 samples/sec	Train-Perplexity=700.796040
2017-03-09 17:45:19,731 Epoch[3] Batch [180]	Speed: 10.97 samples/sec	Train-Perplexity=687.003020
2017-03-09 17:49:09,806 Epoch[3] Batch [200]	Speed: 11.13 samples/sec	Train-Perplexity=693.339286
2017-03-09 17:50:18,609 Epoch[3] Resetting Data Iterator
2017-03-09 17:50:18,609 Epoch[3] Time cost=2382.219
2017-03-09 17:51:27,554 Epoch[3] Validation-Perplexity=687.353456
2017-03-09 17:55:15,956 Epoch[4] Batch [20]	Speed: 11.43 samples/sec	Train-Perplexity=709.126108
2017-03-09 17:59:10,179 Epoch[4] Batch [40]	Speed: 10.93 samples/sec	Train-Perplexity=708.698962
2017-03-09 18:02:57,642 Epoch[4] Batch [60]	Speed: 11.25 samples/sec	Train-Perplexity=703.051631
2017-03-09 18:06:45,813 Epoch[4] Batch [80]	Speed: 11.22 samples/sec	Train-Perplexity=702.471835
2017-03-09 18:10:34,083 Epoch[4] Batch [100]	Speed: 11.21 samples/sec	Train-Perplexity=715.013762
2017-03-09 18:14:35,516 Epoch[4] Batch [120]	Speed: 10.60 samples/sec	Train-Perplexity=700.691796
2017-03-09 18:18:24,240 Epoch[4] Batch [140]	Speed: 11.19 samples/sec	Train-Perplexity=701.039868
2017-03-09 18:22:16,895 Epoch[4] Batch [160]	Speed: 11.00 samples/sec	Train-Perplexity=699.005534
2017-03-09 18:26:06,124 Epoch[4] Batch [180]	Speed: 11.17 samples/sec	Train-Perplexity=684.959456
2017-03-09 18:29:55,961 Epoch[4] Batch [200]	Speed: 11.14 samples/sec	Train-Perplexity=691.109982
2017-03-09 18:31:06,735 Epoch[4] Resetting Data Iterator
2017-03-09 18:31:06,735 Epoch[4] Time cost=2379.181
2017-03-09 18:32:16,236 Epoch[4] Validation-Perplexity=687.304968
2017-03-09 18:35:58,464 Epoch[5] Batch [20]	Speed: 11.75 samples/sec	Train-Perplexity=705.950994
2017-03-09 18:39:46,915 Epoch[5] Batch [40]	Speed: 11.21 samples/sec	Train-Perplexity=706.208510
2017-03-09 18:43:35,004 Epoch[5] Batch [60]	Speed: 11.22 samples/sec	Train-Perplexity=701.260240
2017-03-09 18:47:24,598 Epoch[5] Batch [80]	Speed: 11.15 samples/sec	Train-Perplexity=701.402305
2017-03-09 18:51:14,210 Epoch[5] Batch [100]	Speed: 11.15 samples/sec	Train-Perplexity=713.548655
2017-03-09 18:55:02,442 Epoch[5] Batch [120]	Speed: 11.22 samples/sec	Train-Perplexity=699.747228
2017-03-09 18:58:50,048 Epoch[5] Batch [140]	Speed: 11.25 samples/sec	Train-Perplexity=699.506231
2017-03-09 19:02:44,672 Epoch[5] Batch [160]	Speed: 10.91 samples/sec	Train-Perplexity=696.724874
2017-03-09 19:06:37,509 Epoch[5] Batch [180]	Speed: 10.99 samples/sec	Train-Perplexity=683.350636
2017-03-09 19:10:24,948 Epoch[5] Batch [200]	Speed: 11.26 samples/sec	Train-Perplexity=690.290952
2017-03-09 19:11:34,239 Epoch[5] Resetting Data Iterator
2017-03-09 19:11:34,239 Epoch[5] Time cost=2358.003
2017-03-09 19:12:42,704 Epoch[5] Validation-Perplexity=687.004281
2017-03-09 19:16:22,116 Epoch[6] Batch [20]	Speed: 11.90 samples/sec	Train-Perplexity=705.276810
2017-03-09 19:20:10,549 Epoch[6] Batch [40]	Speed: 11.21 samples/sec	Train-Perplexity=705.546239
2017-03-09 19:24:02,333 Epoch[6] Batch [60]	Speed: 11.04 samples/sec	Train-Perplexity=700.428542
2017-03-09 19:27:54,501 Epoch[6] Batch [80]	Speed: 11.03 samples/sec	Train-Perplexity=700.248916
2017-03-09 19:31:44,219 Epoch[6] Batch [100]	Speed: 11.14 samples/sec	Train-Perplexity=711.934928
2017-03-09 19:35:35,708 Epoch[6] Batch [120]	Speed: 11.06 samples/sec	Train-Perplexity=698.506284
2017-03-09 19:39:25,547 Epoch[6] Batch [140]	Speed: 11.14 samples/sec	Train-Perplexity=698.431687
2017-03-09 19:43:22,097 Epoch[6] Batch [160]	Speed: 10.82 samples/sec	Train-Perplexity=695.458360
2017-03-09 19:47:09,831 Epoch[6] Batch [180]	Speed: 11.24 samples/sec	Train-Perplexity=682.107854
2017-03-09 19:50:59,632 Epoch[6] Batch [200]	Speed: 11.14 samples/sec	Train-Perplexity=689.198346
2017-03-09 19:52:08,208 Epoch[6] Resetting Data Iterator
2017-03-09 19:52:08,208 Epoch[6] Time cost=2365.504
2017-03-09 19:53:16,837 Epoch[6] Validation-Perplexity=686.241613
2017-03-09 19:57:03,004 Epoch[7] Batch [20]	Speed: 11.53 samples/sec	Train-Perplexity=703.578372
2017-03-09 20:00:51,750 Epoch[7] Batch [40]	Speed: 11.19 samples/sec	Train-Perplexity=703.859522
2017-03-09 20:04:38,266 Epoch[7] Batch [60]	Speed: 11.30 samples/sec	Train-Perplexity=697.720671
2017-03-09 20:08:29,032 Epoch[7] Batch [80]	Speed: 11.09 samples/sec	Train-Perplexity=697.494935
2017-03-09 20:12:16,953 Epoch[7] Batch [100]	Speed: 11.23 samples/sec	Train-Perplexity=708.180435
2017-03-09 20:16:04,344 Epoch[7] Batch [120]	Speed: 11.26 samples/sec	Train-Perplexity=693.257285
2017-03-09 20:19:56,847 Epoch[7] Batch [140]	Speed: 11.01 samples/sec	Train-Perplexity=691.580544
2017-03-09 20:23:48,488 Epoch[7] Batch [160]	Speed: 11.05 samples/sec	Train-Perplexity=683.503318
2017-03-09 20:27:37,791 Epoch[7] Batch [180]	Speed: 11.16 samples/sec	Train-Perplexity=662.949245
2017-03-09 20:31:26,330 Epoch[7] Batch [200]	Speed: 11.20 samples/sec	Train-Perplexity=656.651093
2017-03-09 20:32:36,324 Epoch[7] Resetting Data Iterator
2017-03-09 20:32:36,325 Epoch[7] Time cost=2359.488
2017-03-09 20:33:54,663 Epoch[7] Validation-Perplexity=797.743427
2017-03-09 20:37:36,603 Epoch[8] Batch [20]	Speed: 11.76 samples/sec	Train-Perplexity=653.879365
2017-03-09 20:41:25,187 Epoch[8] Batch [40]	Speed: 11.20 samples/sec	Train-Perplexity=643.637332
2017-03-09 20:45:17,706 Epoch[8] Batch [60]	Speed: 11.01 samples/sec	Train-Perplexity=625.438016
2017-03-09 20:49:09,104 Epoch[8] Batch [80]	Speed: 11.06 samples/sec	Train-Perplexity=618.992967
2017-03-09 20:52:59,596 Epoch[8] Batch [100]	Speed: 11.11 samples/sec	Train-Perplexity=622.008913
2017-03-09 20:56:50,991 Epoch[8] Batch [120]	Speed: 11.06 samples/sec	Train-Perplexity=598.814108
2017-03-09 21:00:42,097 Epoch[8] Batch [140]	Speed: 11.08 samples/sec	Train-Perplexity=593.080374
2017-03-09 21:04:31,057 Epoch[8] Batch [160]	Speed: 11.18 samples/sec	Train-Perplexity=587.012208
2017-03-09 21:08:22,538 Epoch[8] Batch [180]	Speed: 11.06 samples/sec	Train-Perplexity=570.207067
2017-03-09 21:12:14,970 Epoch[8] Batch [200]	Speed: 11.01 samples/sec	Train-Perplexity=570.525594
2017-03-09 21:13:24,732 Epoch[8] Resetting Data Iterator
2017-03-09 21:13:24,733 Epoch[8] Time cost=2370.070
2017-03-09 21:14:35,902 Epoch[8] Validation-Perplexity=6228.328971
2017-03-09 21:18:21,607 Epoch[9] Batch [20]	Speed: 11.56 samples/sec	Train-Perplexity=572.545833
2017-03-09 21:22:08,629 Epoch[9] Batch [40]	Speed: 11.28 samples/sec	Train-Perplexity=573.076329
2017-03-09 21:25:58,565 Epoch[9] Batch [60]	Speed: 11.13 samples/sec	Train-Perplexity=565.204333
